"
Главный менеджер офиса международных отношений и инвестиций","Международный технопарк IT стартапов в поисках главного менеджера в офис международных отношений и инвестиций."
"
Директор офиса образовательных программ","Международный технопарк IT стартапов Astana Hub в поисках Директора в офис образовательных программ."
"
Директор Customer Support/Service","Международный технопарк IT стартапов Astana Hub в поисках Директора Customer Support/Service"
"
Flutter разработчик","Digital Innovation Products - создаем  экосистему новых продуктов и сервисов в сфере библиотечного дела"
"
React разработчик","Мы в поиске Frontend разработчика на react  в нашу команду!"
"
Старший менеджер в офис поддержки участников","Международный технопарк IT стартапов Astana Hub в поисках талантливого старшего менеджера в офис поддержки участников."
"
Руководитель отдела исследований и разработок в области недв","Мы в поиске R&D-Менеджера с опытом успешных запусков инновационных решений в Real Estate"
"
Manager","Менеджер"
"
IT sales manager","Нашей команде нужен инициативный менеджер по продажам услуг и программных продуктов в IT сфере."
"
UX/UI дизайнер","Требуется дизайнер UI/UX с навыками графического дизайна"
"
Технический эксперт по разбору тестовых заданий","IT Incubator приглашает технического эксперта по разбору тестовых заданий/ментор на частичную занятость для проведения групповых занятий со студентами"
"
Мобильный разработчик","Разрабатываем проекты разной сложности и на разных платформах для заказчиков, а также развиваем  более 12 собственных продуктов."
"
.NET-разработчик","В продуктовую команду разработки программного обеспечения ищем разработчика ПО желающего создавать актуальные продукты для рынка."
"
👁GURU.Markets​👁 ищет backend-разработчика","Требуется опытный backend-разработчик с работой и оплатой по часам.
Часовая ставка - 700 рублей/час."
"
Оператор Service Desk","ТОО «Центр технической компетенции DEMEU» - это команда профессионалов с большим опытом работы по поставкам, обслуживанию и ремонту оборудования IT.
Именно сейч"
"
Разработчик CRM","Мы ищем в свою команду сотрудника для улучшения процесса разработки, внедрения CRM системы на платформе Сreatio."
"
Middle/Middle+ Go разработчик","Нам нужен Middle/Middle+ Go разработчик (большой плюс если вы с опытом Ruby) на наш проект, связанный с кодами маркировок товаров производств."
"
Senior .NET Developer","We are a product IT company with over 9 years of product development experience."
"
Project Manager/Analyst","В компанию с сфере инфраструктуры требуются аналитики, проектные менеджеры и менеджеры продукта. 
Проекты по разработке информационных систем различных направл"
"
UI / UX / Web Дизайнер","В компанию Welldone, работающий в сфере электронного образования нужен UI / UX / Web Дизайнер электронных курсов."
"
Инженер технической поддержки","ТОО «Центр технической компетенции DEMEU» - это команда профессионалов с большим опытом работы по поставкам, обслуживанию и ремонту оборудования IT."
"
Разразботчик #php #laravel","iKapitalist - лидирующая инвестиционная и заёмная платформа в Казахстане объявляет конкурс на вакансию разработчика."
"
C# and Go developer/ Senior Associate at IT Division","На крупные и интересные проекты Комитета МФЦА по регулированию финансовых услуг (Astana Financial Services Authority, AFSA)  требуется С#, Go разработчик."
"
Оператор Service Desk","ТОО «Центр технической компетенции DEMEU» - это команда профессионалов с большим опытом работы по поставкам, обслуживанию и ремонту оборудования IT."
"
Программный Менеджер","Мы помогаем абитуриентам из стран СНГ осуществить свою мечту и поступить в заграничные ВУЗы"
"
Менеджер продукта / product manager","Казахстанская производственная компания ""Alit"" в поисках менеджера продукта"
"
Рекрутер / Специалист по подбору персонала","DigitalTeam is a company with high-qualified tech professionals specializing in top-notch IT solutions."
"
Middle Fullstack разработчик","Ищем middle Fullstack разработчика, готового принимать участие в разработке как в существующих так и в проектах на этапе зарождения."
"
разработчик Backend NodeJS (Микросервисы)","АКЦИОНЕРНОЕ ОБЩЕСТВО «НАЦИОНАЛЬНАЯ КОМПАНИЯ «ҚАЗАҚСТАН ҒАРЫШ САПАРЫ», ОБЪЯВЛЯЕТ О НАБОРЕ СПЕЦИАЛИСТОВ ПО ДОГОВОРУ ВОЗМЕЗДНОГО ОКАЗАНИЯ УСЛУГ"
"
разработчик Frontend","АКЦИОНЕРНОЕ ОБЩЕСТВО «НАЦИОНАЛЬНАЯ КОМПАНИЯ «ҚАЗАҚСТАН ҒАРЫШ САПАРЫ», ОБЪЯВЛЯЕТ О НАБОРЕ СПЕЦИАЛИСТОВ ПО ДОГОВОРУ ВОЗМЕЗДНОГО ОКАЗАНИЯ УСЛУГ"
"
Python-разработчик","Сейчас мы в поисках Python-разработчиков для участия в интересных и технологически сложных проектах."
"
Менеджер по продажам в Алматы | Маркетплейс Satu.kz","Мы ищем менеджера по продажам в коммерческий отдел маркетплейса Satu.kz в  Алматы"
"
Старший бухгалтер","ANY.RUN - международная IT компания.

Наш сервис - интерактивная песочница для анализа подозрительного контента."
"
Senior Data Scientist","В связи с расширением объемов работ, нам необходим специалист, который сможет занять лидирующую роль на ряде проектов"
"
3D художник","GameDev компания ASTROBAKERS ищет 3D художника!3D моделирование Hard surface объектов или есть опыт работы со стилизованными ассетами, то это вакансия для тебя"
"
Менеджер по продажам / Менеджер по работе с клиентами","ТОО ChatApp (ЧатАпп) – быстро растущая IT-компания, разработчик облачного сервиса для бизнес-коммуникаций приглашает в свою команду ""Менеджера по продажам""."
"
Backend разработчик","Корпоративный фонд Международный технопарк IT-стартапов «Astana Hub» в поисках backend разработчика"
"
Frontend разработчик","Корпоративный фонд Международный технопарк IT-стартапов «Astana Hub» в поисках frontend разработчик"
"
UX/UI-дизайнер","Корпоративный фонд Международный технопарк IT-стартапов «Astana Hub» в поисках UX/UI designer"
"
Ведущий разработчик (frontend, senior)","Корпоративный фонд Международный технопарк IT-стартапов «Astana Hub» в поисках ведущего frontend разработчика."
"
Ведущий разработчик (backend, senior)","Корпоративный фонд Международный технопарк IT-стартапов «Astana Hub» в поисках ведущего backend разработчика."
"
Проектный менеджер/аналитик","Мы приглашаем в команду проектного менеджера/аналитика."
"
Back-end разработчик C#","Back-end разработчик C#"
"
Руководитель коммерческого отдела","Мы приглашаем к сотрудничеству талантливого и амбициозного руководителя комерческого отдела!"
"
Администратор IT школы","Требуется администратор в IT школу на неполную ставку. Гибкий график. г. Актобе."
"
UI/UX дизайнер","Мы ищем себе в команду UI/UX дизайнера для разработки дизайна информационных систем компании."
"
DevOps инженер","Мы приглашаем опытного DevOps инженера, со знанием вопросов безопасности, в нашу дружную команду."
"
Strong Middle/Senior/Tech lead/Java разработчик","Требуются разработчики для работы над интересными проектами в сфере инфраструктуры."
"
Strong Middle/Senior/Tech lead/C# разработчик","Требуются разработчики для работы над интересными проектами в сфере инфраструктуры."
"
Strong Middle/Senior/Tech lead/Python разработчик","Требуются разработчики для работы над интересными проектами в сфере инфраструктуры."
"
Инженер технической поддержки","Инженер технической поддержки"
"
Инженер технической поддержки","Инженер технической поддержки проектов включая подготовку различной документации и их реализации."
"
Менеджер по привлечению клиентов","Ищу амбициозного человека, готового развиваться в сфере маркетинга IT-индустрии."
"
Маркетолог","BGlobal Ventures Ltd. (дочерняя организация Qazaqstan Investment Corporation в структуре Холдинга Байтерек) в поисках опытного менеджера по маркетингу"
"
Преподаватель Python","Требуется преподаватель Python на казахском языке. г. Актобе. Опыт в разработке приветствуется."
"
Marketing Manager","Есть вакансия Marketing Manager в IT школу Jusan Singularity🚀 📍г. Астана"
"
Коммерческий директор","Область деятельности – инжиниринг (самостоятельное ведение или участие в проектах по разработке конструкции, разработке технологии, и т.п.)."
"
Бизнес / Системный аналитик","Требуется опытный бизнес / системный аналитик для реализации проектов по цифровизации в сфере промышленной безопасности"
"
Data Analyst","We are Europe's leading online retailer for car parts."
"
Инженер-математик/специалист по математическому моделировани","Мы ищем разработчика инженерных систем с хорошим опытом разработки в среде MATLAB / Simulink."
"
IT  Developer","Developer в MedTech стартап"
"
IT - проектный менеджер","Ищем в нашу дружную команду проектного менеджера."
"
Оператор Service Desk","ТОО «Центр технической компетенции DEMEU» - это команда профессионалов с большим опытом работы по поставкам, обслуживанию и ремонту оборудования IT."
"
General manager Kazakhstan","We are seeking a dynamic and experienced General Manager to lead the growth of zypl's AI B2B SaaS stack in the financial sector of Kazakhstan."
"
Менеджер по работе с клиентами","Приглашаем в нашу ИТ-команду «CMX» менеджера по работе с клиентами для развития направления горизонтального мониторинга в Казахстане."
"
.Net Developer","READY TO SHAPE THE FUTURE? PLEASE APPLY FOR OUR CAREER SITE: https://careers.hiqo-solutions.com/vacancies"
"
Manager of IT Innovations Office at Nazarbayev University","Experience in one of the fields: Database design / SQL; C++ , C#, Java programming; Software development; RPA; Business process automation; Back-end development"
"
HR Director","Мы ищем HRD с опыт работы в успешных онлайн-школах и опытом создания сети рекрутеров-фрилансеров. Рассматриваем только русскоязычных кандидатов."
